"hotel_id";"nome";"checkin";"checkout";"preco";"posicao";"hotel_base";"diferenca_base";"%_base";"diferenca_media";"%_media";"status_base";"status_media"
"";"MENOR";"";"";"R$ 180,00"
"";"MÉDIA";"";"";"R$ 312,67"
"";"MEDIANA";"";"";"R$ 317,50"
"";"MAIOR";"";"";"R$ 419,00"
"1";"Hotel Praia da Sereia (BASE)";"2026-04-04";"2026-04-05";"R$ 195,00";"1";"TRUE";"R$ 0,00";"0,00%";"- R$ 117,67";"-37,63%";"igual";"abaixo_media"
"2";"Rede Concept - Hotel Salvador";"2026-04-04";"2026-04-05";"R$ 180,00";"2";"FALSE";"- R$ 15,00";"-7,69%";"- R$ 132,67";"-42,43%";"mais_barato";"abaixo_media"
"10";"Absolutte Hotel";"2026-04-04";"2026-04-05";"R$ 300,00";"3";"FALSE";"+ R$ 105,00";"+53,85%";"- R$ 12,67";"-4,05%";"mais_caro";"abaixo_media"
"5";"Onix Hotel Praia de Piata";"2026-04-04";"2026-04-05";"R$ 315,00";"4";"FALSE";"+ R$ 120,00";"+61,54%";"+ R$ 2,33";"+0,75%";"mais_caro";"acima_media"
"9";"Farol de Itapua Praia Hotel";"2026-04-04";"2026-04-05";"R$ 320,00";"5";"FALSE";"+ R$ 125,00";"+64,10%";"+ R$ 7,33";"+2,34%";"mais_caro";"acima_media"
"11";"Rede Andrade Bahia - Pisa Plaza";"2026-04-04";"2026-04-05";"R$ 342,00";"6";"FALSE";"+ R$ 147,00";"+75,38%";"+ R$ 29,33";"+9,38%";"mais_caro";"acima_media"
"6";"Hotel Luar de Itapua";"2026-04-04";"2026-04-05";"R$ 419,00";"7";"FALSE";"+ R$ 224,00";"+114,87%";"+ R$ 106,33";"+34,01%";"mais_caro";"acima_media"

"RECOMENDAÇÃO"
"ação";"subir"
"percentual";"10% a 15%"
"análise";"Preço muito abaixo do mercado. Há espaço para aumento."
