"hotel_id";"nome";"checkin";"checkout";"preco";"posicao";"hotel_base";"diferenca_base";"%_base";"diferenca_media";"%_media";"status_base";"status_media"
"";"MENOR";"";"";"R$ 198,00"
"";"MÉDIA";"";"";"R$ 245,13"
"";"MEDIANA";"";"";"R$ 230,50"
"";"MAIOR";"";"";"R$ 315,00"
"1";"Hotel Praia da Sereia (BASE)";"2026-04-06";"2026-04-07";"R$ 195,00";"1";"TRUE";"R$ 0,00";"0,00%";"- R$ 50,13";"-20,45%";"igual";"abaixo_media"
"4";"Rede Andrade Express - Amaralina";"2026-04-06";"2026-04-07";"R$ 198,00";"2";"FALSE";"+ R$ 3,00";"+1,54%";"- R$ 47,13";"-19,23%";"mais_caro";"abaixo_media"
"2";"Rede Concept - Hotel Salvador";"2026-04-06";"2026-04-07";"R$ 200,00";"3";"FALSE";"+ R$ 5,00";"+2,56%";"- R$ 45,13";"-18,41%";"mais_caro";"abaixo_media"
"12";"Rede Andrade Riviera Premium";"2026-04-06";"2026-04-07";"R$ 207,00";"4";"FALSE";"+ R$ 12,00";"+6,15%";"- R$ 38,13";"-15,56%";"mais_caro";"abaixo_media"
"3";"B Hotel Salvador";"2026-04-06";"2026-04-07";"R$ 220,00";"5";"FALSE";"+ R$ 25,00";"+12,82%";"- R$ 25,13";"-10,25%";"mais_caro";"abaixo_media"
"6";"Hotel Luar de Itapua";"2026-04-06";"2026-04-07";"R$ 241,00";"6";"FALSE";"+ R$ 46,00";"+23,59%";"- R$ 4,13";"-1,68%";"mais_caro";"abaixo_media"
"9";"Farol de Itapua Praia Hotel";"2026-04-06";"2026-04-07";"R$ 280,00";"7";"FALSE";"+ R$ 85,00";"+43,59%";"+ R$ 34,87";"+14,23%";"mais_caro";"acima_media"
"10";"Absolutte Hotel";"2026-04-06";"2026-04-07";"R$ 300,00";"8";"FALSE";"+ R$ 105,00";"+53,85%";"+ R$ 54,87";"+22,38%";"mais_caro";"acima_media"
"5";"Onix Hotel Praia de Piata";"2026-04-06";"2026-04-07";"R$ 315,00";"9";"FALSE";"+ R$ 120,00";"+61,54%";"+ R$ 69,87";"+28,50%";"mais_caro";"acima_media"

"RECOMENDAÇÃO"
"ação";"subir"
"percentual";"10% a 15%"
"análise";"Preço muito abaixo do mercado. Há espaço para aumento."
