"hotel_id";"nome";"checkin";"checkout";"preco";"posicao";"hotel_base";"diferenca_base";"%_base";"diferenca_media";"%_media";"status_base";"status_media"
"";"MENOR";"";"";"R$ 166,00"
"";"MÉDIA";"";"";"R$ 260,00"
"";"MEDIANA";"";"";"R$ 266,00"
"";"MAIOR";"";"";"R$ 320,00"
"1";"Hotel Praia da Sereia (BASE)";"2026-04-03";"2026-04-04";"R$ 195,00";"1";"TRUE";"R$ 0,00";"0,00%";"- R$ 65,00";"-25,00%";"igual";"abaixo_media"
"11";"Rede Andrade Bahia - Pisa Plaza";"2026-04-03";"2026-04-04";"R$ 166,00";"2";"FALSE";"- R$ 29,00";"-14,87%";"- R$ 94,00";"-36,15%";"mais_barato";"abaixo_media"
"2";"Rede Concept - Hotel Salvador";"2026-04-03";"2026-04-04";"R$ 200,00";"3";"FALSE";"+ R$ 5,00";"+2,56%";"- R$ 60,00";"-23,08%";"mais_caro";"abaixo_media"
"6";"Hotel Luar de Itapua";"2026-04-03";"2026-04-04";"R$ 247,00";"4";"FALSE";"+ R$ 52,00";"+26,67%";"- R$ 13,00";"-5,00%";"mais_caro";"abaixo_media"
"4";"Rede Andrade Express - Amaralina";"2026-04-03";"2026-04-04";"R$ 248,00";"5";"FALSE";"+ R$ 53,00";"+27,18%";"- R$ 12,00";"-4,62%";"mais_caro";"abaixo_media"
"12";"Rede Andrade Riviera Premium";"2026-04-03";"2026-04-04";"R$ 284,00";"6";"FALSE";"+ R$ 89,00";"+45,64%";"+ R$ 24,00";"+9,23%";"mais_caro";"acima_media"
"10";"Absolutte Hotel";"2026-04-03";"2026-04-04";"R$ 300,00";"7";"FALSE";"+ R$ 105,00";"+53,85%";"+ R$ 40,00";"+15,38%";"mais_caro";"acima_media"
"5";"Onix Hotel Praia de Piata";"2026-04-03";"2026-04-04";"R$ 315,00";"8";"FALSE";"+ R$ 120,00";"+61,54%";"+ R$ 55,00";"+21,15%";"mais_caro";"acima_media"
"9";"Farol de Itapua Praia Hotel";"2026-04-03";"2026-04-04";"R$ 320,00";"9";"FALSE";"+ R$ 125,00";"+64,10%";"+ R$ 60,00";"+23,08%";"mais_caro";"acima_media"

"RECOMENDAÇÃO"
"ação";"subir"
"percentual";"10% a 15%"
"análise";"Preço muito abaixo do mercado. Há espaço para aumento."
