"hotel_id";"nome";"checkin";"checkout";"preco";"posicao";"hotel_base";"diferenca_base";"%_base";"diferenca_media";"%_media";"status_base";"status_media"
"";"MENOR";"";"";"R$ 152,00"
"";"MÉDIA";"";"";"R$ 229,56"
"";"MEDIANA";"";"";"R$ 222,00"
"";"MAIOR";"";"";"R$ 315,00"
"1";"Hotel Praia da Sereia (BASE)";"2026-04-02";"2026-04-03";"R$ 195,00";"1";"TRUE";"R$ 0,00";"0,00%";"- R$ 34,56";"-15,05%";"igual";"abaixo_media"
"11";"Rede Andrade Bahia - Pisa Plaza";"2026-04-02";"2026-04-03";"R$ 152,00";"2";"FALSE";"- R$ 43,00";"-22,05%";"- R$ 77,56";"-33,79%";"mais_barato";"abaixo_media"
"12";"Rede Andrade Riviera Premium";"2026-04-02";"2026-04-03";"R$ 171,00";"3";"FALSE";"- R$ 24,00";"-12,31%";"- R$ 58,56";"-25,51%";"mais_barato";"abaixo_media"
"4";"Rede Andrade Express - Amaralina";"2026-04-02";"2026-04-03";"R$ 198,00";"4";"FALSE";"+ R$ 3,00";"+1,54%";"- R$ 31,56";"-13,75%";"mais_caro";"abaixo_media"
"2";"Rede Concept - Hotel Salvador";"2026-04-02";"2026-04-03";"R$ 200,00";"5";"FALSE";"+ R$ 5,00";"+2,56%";"- R$ 29,56";"-12,88%";"mais_caro";"abaixo_media"
"3";"B Hotel Salvador";"2026-04-02";"2026-04-03";"R$ 222,00";"6";"FALSE";"+ R$ 27,00";"+13,85%";"- R$ 7,56";"-3,29%";"mais_caro";"abaixo_media"
"6";"Hotel Luar de Itapua";"2026-04-02";"2026-04-03";"R$ 248,00";"7";"FALSE";"+ R$ 53,00";"+27,18%";"+ R$ 18,44";"+8,03%";"mais_caro";"acima_media"
"9";"Farol de Itapua Praia Hotel";"2026-04-02";"2026-04-03";"R$ 260,00";"8";"FALSE";"+ R$ 65,00";"+33,33%";"+ R$ 30,44";"+13,26%";"mais_caro";"acima_media"
"10";"Absolutte Hotel";"2026-04-02";"2026-04-03";"R$ 300,00";"9";"FALSE";"+ R$ 105,00";"+53,85%";"+ R$ 70,44";"+30,68%";"mais_caro";"acima_media"
"5";"Onix Hotel Praia de Piata";"2026-04-02";"2026-04-03";"R$ 315,00";"10";"FALSE";"+ R$ 120,00";"+61,54%";"+ R$ 85,44";"+37,22%";"mais_caro";"acima_media"

"RECOMENDAÇÃO"
"ação";"subir"
"percentual";"5% a 10%"
"análise";"Abaixo da média. Pode subir moderadamente."
